;t;H0;H1;H2;H3;H4;H5;H6;H7
4712;23560.0;-0.0;-0.0;2.5935983867359243e-08;-0.0;0.009144946941651567;-0.0;-0.0;5.547261999238998e-05
4713;23565.0;-0.0;-0.0;3.613266587590084e-08;-0.0;0.014694408110874689;-0.0;-0.0;7.728258558532372e-05
4714;23570.0;-0.0;-0.0;3.8299866578686685e-08;-0.0;0.020489858579602817;-0.0;-0.0;8.191864327040772e-05
4715;23575.0;-0.0;-0.0;2.7801129958969016e-08;-0.0;0.026227296473266073;-0.0;-0.0;5.9463534318385445e-05
4716;23580.0;3.1763735522036263e-21;2.710505431213761e-19;-0.0;-0.0;0.03160271991729451;0.0;-0.0;8.131516293641283e-20
4717;23585.0;4.755621018808262e-06;0.0009046814802192352;-0.0;0.0009744636751428293;0.036313970025201286;0.00566619107206274;-0.0;-0.0
4718;23590.0;6.2913306295077025e-06;0.0012670383745720334;-0.0;0.0012945089230389547;0.040066259862831625;0.012854628046763874;-0.0;-0.0
4719;23595.0;5.595376082537466e-06;0.0012224096783924542;-0.0;0.0011586104615805568;0.04256664548411386;0.020446425369715575;-0.0;-0.0
4720;23600.0;3.6560046283366817e-06;0.0009061343870145513;-0.0;0.0007652430086598124;0.043522182942976224;0.02732269748653002;-0.0;-0.0
4721;23605.0;1.4614635173444824e-06;0.00045355149577238133;-0.0;0.0003128812821689007;0.042639928293347056;0.0323645588428194;-0.0;-0.0
4722;23610.0;1.2705494208814505e-21;-0.0;1.5881867761018131e-22;2.168404344971009e-19;0.03962693758915459;0.03445312388419587;1.734723475976807e-18;-0.0
4723;23615.0;-0.0;-0.0;1.719877411193973e-07;-0.0;0.03437360635081717;0.03282919362815326;0.005450907195195329;0.0003678670790380766
4724;23620.0;9.341949558949275e-07;-0.0;3.6127787557804565e-07;0.00013597075724469454;0.027503687964713162;0.02817231537971193;0.012577558919266596;0.0007727425834425164
4725;23625.0;2.1505857158533706e-06;-0.0;5.032972860356877e-07;0.00036218776838329794;0.019824275283711036;0.021521723015773934;0.020198618632848286;0.0010765100704771243
4726;23630.0;2.8890685389555082e-06;-0.0;5.334728551520657e-07;0.0005079186087700575;0.012142461160679184;0.013916650413241262;0.027132749796574856;0.001141053097405704
4727;23635.0;2.416565831553625e-06;-0.0;3.8723146558692234e-07;0.00043368283408296243;0.00526533844848603;0.006396331449015946;0.03219861587108083;0.0008282552214920623
4728;23640.0;-0.0;0.0;-0.0;0.0;-0.0;1.0842021724855044e-18;0.03421488031700065;8.673617379884035e-19
4729;23645.0;-0.0;0.0004616232001908058;-0.0;-0.0;-0.0;-0.0;0.03238855850891445;-0.0
4730;23650.0;-0.0;0.0009242150049118224;-0.0;-0.0;-0.0;-0.0;0.02748007347718489;-0.0
4731;23655.0;-0.0;0.00124856200070815;-0.0;-0.0;-0.0;-0.0;0.02063820016612036;-0.0
4732;23660.0;-0.0;0.0012954507741248884;-0.0;-0.0;-0.0;-0.0;0.013011713520029139;-0.0
4733;23665.0;-0.0;0.0009256679117071393;-0.0;-0.0;-0.0;-0.0;0.005749388483219578;-0.0
4734;23670.0;1.3552527156068805e-20;4.336808689942018e-19;1.6940658945086007e-21;-0.0;5.421010862427522e-20;-0.0;2.0599841277224584e-18;-0.0
4735;23675.0;1.8617091866151508e-05;-0.0;2.395482099101754e-06;0.003571019206199745;0.0008232470929108132;0.004998141558059188;-0.0;0.005269723962384308
4736;23680.0;3.917824685645473e-05;-0.0;5.031954274225284e-06;0.008353150734702728;0.0011354581884799075;0.010745033503376036;-0.0;0.011930850436779643
4737;23685.0;5.4640290067950445e-05;-0.0;7.010029338623733e-06;0.013899752055154865;0.0010729361568403298;0.016827942608320413;-0.0;0.018935611650041137
4738;23690.0;5.796004659767937e-05;-0.0;7.430320105550238e-06;0.019764180637202065;0.0007719838681251226;0.022834135645262172;-0.0;0.02523623982902391
4739;23695.0;4.2094341542682313e-05;-0.0;5.3934393882579495e-06;0.025499793950490263;0.0003689041924673312;0.028350879386571205;-0.0;0.029784967200583132
4740;23700.0;-0.0;0.0;-0.0;0.030659949464665354;4.743384504624082e-20;0.03296544060461735;1.6263032587282567e-19;0.031534025991573886
4741;23705.0;-0.0;0.00571650172829741;-0.0;0.03484743983325429;-0.0;0.03633218001587874;0.0009032928307707531;0.02978490609899268
4742;23710.0;-0.0;0.0129396389409564;-0.0;0.037862798445308106;-0.0;0.0383738341132665;0.0012440624500904241;0.02523612810040137
4743;23715.0;-0.0;0.020535835289346514;-0.0;0.03955599387375892;-0.0;0.03908023333380004;0.001173213417316101;0.01893547024350323
4744;23720.0;-0.0;0.027371514424837276;-0.0;0.039776994691538746;-0.0;0.03844120811449872;0.0008416502918048655;0.011930710776001465
4745;23725.0;-0.0;0.03231309999879826;-0.0;0.03837576947157973;-0.0;0.036446588892381955;0.00040027763291380393;0.005269627945599311
4746;23730.0;5.421010862427522e-20;0.03422701566259896;0.0;0.0352022867868139;-0.0;0.03308620610446911;-0.0;3.144186300207963e-18
4747;23735.0;0.00026066631227339334;0.03235630929905001;3.3364761646305135e-05;0.030242893802759137;8.41084992134951e-05;0.028425476396259385;-0.0;-0.0
4748;23740.0;0.0005475612610344717;0.027450525716726182;7.008608196357595e-05;0.024029452055276356;0.00013404151523652982;0.022832161247171235;-0.0;-0.0
4749;23745.0;0.0007628134752354536;0.02063583395564341;9.763711345469659e-05;0.01723020167281234;0.00015019811069790103;0.016749608345102963;-0.0;-0.0
4750;23750.0;0.0008085515838285565;0.013038403055817532;0.00010349100862255134;0.010513382783813781;0.00013297734822640528;0.010621165377952813;-0.0;-0.0
4751;23755.0;0.000586904215766;0.00578440205726444;7.512091997002448e-05;0.004547235516727428;8.277829045083943e-05;0.0048901800336190685;-0.0;-0.0
4752;23760.0;2.168404344971009e-19;-0.0;2.710505431213761e-20;-0.0;2.710505431213761e-20;4.336808689942018e-19;-0.0;5.149960319306146e-19
4753;23765.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;5.781908310332179e-05;0.0008277227647752346
4754;23770.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;7.45431402293857e-05;0.0011399358111802316
4755;23775.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;6.364771593013872e-05;0.0010749545985601
4756;23780.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;3.8608354757527554e-05;0.0007710945862599461
4757;23785.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;1.2900601263499034e-05;0.00036667123362487704
4758;23790.0;-0.0;2.168404344971009e-19;0.0;-0.0;-0.0;-0.0;4.0657581468206416e-20;3.3881317890172014e-19
4759;23795.0;0.0037762101362749144;0.001302206099615209;0.0004647111809491702;0.0007086748774117272;0.00035427189607811825;0.0055725937604811015;9.00164605523134e-06;-0.0
4760;23800.0;0.008790670258134655;0.002085563693013954;0.0009761731932158376;0.0009762793040982435;0.0007411230248315099;0.012324188634528084;3.1478836662409505e-05;-0.0
4761;23805.0;0.014553217483694612;0.0023485473299740215;0.0013599095590271283;0.0009210136548799405;0.0010298373929302847;0.01968009691730375;5.462441959100495e-05;-0.0
4762;23810.0;0.020573688931070182;0.002089631560273194;0.0014414438006101682;0.0006610783045772056;0.001089699007044551;0.02706563090397091;6.563124261048817e-05;-0.0
4763;23815.0;0.026361921718376778;0.001307290933689259;0.0010462994401920838;0.00031467362801042943;0.0007899918738444205;0.03390610288969238;5.1692153490329705e-05;-0.0
4764;23820.0;0.03142775296372976;0.0;0.0;2.1006417091906648e-19;4.336808689942018e-19;0.03962682516963094;-0.0;1.0164395367051604e-20
4765;23825.0;0.035349175274418596;-0.0;-0.0;-0.0;-0.0;0.04374742675527902;-0.0;5.207024187327363e-05
4766;23830.0;0.037976803214428874;-0.0;-0.0;-0.0;-0.0;0.04616480352344735;-0.0;6.638836473635484e-05
4767;23835.0;0.03922940683692028;-0.0;-0.0;-0.0;-0.0;0.046870168067276355;-0.0;5.564738528490595e-05
4768;23840.0;0.03902575619505245;-0.0;-0.0;-0.0;-0.0;0.04585473297990636;-0.0;3.254032021458907e-05
4769;23845.0;0.037284621341985055;-0.0;-0.0;-0.0;-0.0;0.04310971085447777;-0.0;9.760186221066357e-06
4770;23850.0;0.03392477233087772;-0.0;1.734723475976807e-18;4.573977915173222e-20;0.0;0.03862631428413091;2.168404344971009e-19;3.3881317890172014e-20
4771;23855.0;0.028979683826360805;0.005841933424049544;0.0066570342323806556;5.024822337420145e-05;0.005017924999277363;0.03251275596971625;0.0003663010232417576;1.166728416903252e-05
4772;23860.0;0.022941648938947262;0.013169156742099956;0.01507187830896677;6.876539819205544e-05;0.011379496459582231;0.025345249042924407;0.0007703551108536858;3.6027585033727184e-05
4773;23865.0;0.016417665390620766;0.020843733762847705;0.023921043152866694;6.427534385856226e-05;0.01810765313205056;0.01781700674315615;0.00107395715758563;6.0060954821627624e-05
4774;23870.0;0.010014730903364957;0.02772772829498925;0.031881039687188764;4.550187977872191e-05;0.02422533376781829;0.010621242309812182;0.0011389020581874334;7.074744576027745e-05
4775;23875.0;0.004339843199163484;0.03268320414722108;0.03762837883504134;2.116882535753446e-05;0.028755477118021403;0.0044511689822932235;0.0008269847074089424;5.506711007722042e-05
4776;23880.0;-0.0;0.034572225128239646;0.03983957151953275;1.0164395367051604e-20;0.030721021933795827;1.951563910473908e-18;-0.0;-0.0
4777;23885.0;-0.0;0.03263747369486237;0.03763218299900297;-0.0;0.029450729690031905;-0.0;-0.0;-0.0
4778;23890.0;-0.0;0.02764410689639045;0.03188799587271861;-0.0;0.025496652756637487;-0.0;-0.0;-0.0
4779;23895.0;-0.0;0.020737900430246103;0.023929847075177913;-0.0;0.019716666227274852;-0.0;-0.0;-0.0
4780;23900.0;-0.0;0.013064629993851459;0.015080573540879083;-0.0;0.01296864519560623;-0.0;-0.0;-0.0
4781;23905.0;-0.0;0.005770071284628702;0.006663012204320371;-0.0;0.0061104647552938625;-0.0;-0.0;-0.0
4782;23910.0;3.7947076036992655e-19;5.421010862427522e-19;4.662069341687669e-18;-0.0;2.6020852139652106e-18;0.0;1.734723475976807e-18;2.168404344971009e-19
4783;23915.0;0.0009103697507589907;-0.0;-0.0;-0.0;-0.0;-0.0;0.005265328616725915;0.0003832902300285821
4784;23920.0;0.0014280497834488176;-0.0;-0.0;-0.0;-0.0;-0.0;0.011922420214461505;0.0008059672344513275
4785;23925.0;0.0015744464613936572;-0.0;-0.0;-0.0;-0.0;-0.0;0.018925906096314365;0.001123503863464039
4786;23930.0;0.001370966147917684;-0.0;-0.0;-0.0;-0.0;-0.0;0.025230417565392065;0.0011913729672625196
4787;23935.0;0.0008390152063450732;-0.0;-0.0;-0.0;-0.0;-0.0;0.0297905859248022;0.0008650473960425725
4788;23940.0;0.0;2.710505431213761e-19;-0.0;4.743384504624082e-20;0.0;-0.0;0.03156104247765233;-0.0
4789;23945.0;-0.0;0.0009087827059918553;0.001079450011857757;3.206111899195257e-05;0.007019906973872258;0.006889349724286241;0.02984336673616572;-0.0
4790;23950.0;-0.0;0.001253417574285198;0.0015110056559086294;6.805533483351703e-05;0.015173173246727338;0.01570497201041988;0.025326931049028206;-0.0
4791;23955.0;-0.0;0.0011843806713563584;0.0014567527044504552;9.541448918989868e-05;0.02335369112667906;0.024930899247383516;0.019048055974041356;-0.0
4792;23960.0;-0.0;0.0008521480636816609;0.0010787769297810684;0.00010157042372630284;0.030455352921841223;0.033051163824159756;0.01204306206900668;-0.0
4793;23965.0;-0.0;0.0004071958177374327;0.0005391641041983047;7.395498010793488e-05;0.03537205094032767;0.03854979812973125;0.005348269891725722;-0.0
4794;23970.0;8.673617379884035e-19;1.1519648082658485e-19;0.0;-0.0;0.03699767749025218;0.03991083455308055;2.710505431213761e-19;3.469446951953614e-18
